Truck ID,Cluster Number,Count Occurence
 61X6P1B4GU,0,10
 61X6P1B4GU,11,2
 6254LXP4GU,0,1
 6254LXP4GU,17,1
 62I0G6SPFE,0,2
 62I0G6SPFE,10,1
 62I0G6SPFE,2,1
 62I0G6SPFE,6,1
 62LU7PSFBI,11,1
 62LU7PSFBI,4,3
 62LU7PSFBI,8,7
 63PXGFL8BI,0,2
 63PXGFL8BI,10,1
 6414LXP4GU,0,1
 6414LXP4GU,39,1
 644LS6P4GU,0,5
 644LS6P4GU,3,4
 645X6BP4GU,0,3
 645X6BP4GU,2,3
 645X6BP4GU,3,1
 649XB6P4GU,0,2
 649XB6P4GU,6,2
 64IXS6PUGF,0,8
 64PGXUB7SI,0,1
 64PGXUB7SI,8,1
 64S1PU12LB,0,4
 6514LXP4GU,0,8
 6566P1B4GU,0,1
 6566P1B4GU,15,3
 6566P1B4GU,17,1
 6566P1B4GU,2,2
 6566P1B4GU,35,1
 65IPS1B4GU,0,2
 65IPS1B4GU,3,1
 65XUFG13PI,0,3
 65XUFG13PI,15,1
 65XUFG13PI,18,3
 66885BP4GU,0,3
 66F4LXP4GU,0,1
 66F4LXP4GU,2,1
 66F4LXP4GU,3,2
 66LX4BP4GU,0,5
 66X7S6P4GU,2,1
 678PS1B4GU,0,4
 678PS1B4GU,17,6
 678PS1B4GU,26,3
 678PS1B4GU,8,1
 67BS66P4GU,0,8
 67BS66P4GU,6,1
 681F5BP4GU,11,5
 6914LXP4GU,0,2
 6914LXP4GU,2,6
 6B21X6PUFE,0,4
 6BIXFSP4GU,10,2
 6BIXFSP4GU,25,2
 6BIXFSP4GU,6,9
 6BXL66P4GU,0,2
 6BXL66P4GU,2,2
 6BXL66P4GU,3,1
 6F11X6P4GU,0,6
 6F1SLXP4GU,3,2
 6F1SLXP4GU,8,4
 6F744U6PSI,0,10
 6F83SP81BI,0,1
 6F83SP81BI,11,1
 6F83SP81BI,3,1
 6F83SP81BI,6,2
 6FIL5BP4GU,0,4
 6FS6P1B4GU,0,3
 6FS6P1B4GU,18,1
 6GFX4U6PSI,3,1
 6GU6X16PSI,0,4
 6GU6X16PSI,13,1
 6GU6X16PSI,2,1
 6GU6X16PSI,31,1
 6I1XB6P4GU,0,9
 6L1XB6P4GU,0,5
 6L37X16PSI,0,5
 6L37X16PSI,24,1
 6L37X16PSI,3,1
 6L67S6P4GU,3,1
 6LBG4U6PSI,0,3
 6LP51FB4GU,0,4
 6LP5S1B4GU,6,1
 6LU6X16PSI,10,4
 6LU6X16PSI,3,1
 6P0X1FB4GU,0,5
 6P0X1FB4GU,18,1
 6P15GBU1FE,19,1
 6P15GBU1FE,2,3
 6PL4S1B4GU,8,1
 6PS4G4B1UI,0,1
 6PS4G4B1UI,11,1
 6PS4G4B1UI,31,1
 6S50G33PFI,0,3
 6S50G33PFI,17,1
 6S50G33PFI,2,3
 6S68B6P4GU,0,5
 6U236L0FPI,0,5
 6U236L0FPI,2,1
 6X1PU8LFBI,0,4
 6X1PU8LFBI,2,1
 6X2L5BP4GU,3,5
 6X474U6PSI,0,1
 6X474U6PSI,10,2
 6X474U6PSI,3,5
 6X474U6PSI,36,1
 6X4I66P4GU,0,3
 6XG1PU12LB,0,1
 6XG1PU12LB,19,1
 706SL03FPI,0,1
 706SL03FPI,8,4
 71BSFG6LPI,4,5
 71F31BLSUI,11,7
 71I91GLXSU,0,3
 71I91GLXSU,10,2
 71I91GLXSU,23,7
 71I91GLXSU,6,1
 71L6X16PSI,0,1
 71L6X16PSI,17,4
 72141BLSUI,0,2
 732S4IXLGU,0,1
 732S4IXLGU,18,1
 73BGX16PSI,0,1
 73F6X16PSI,8,2
 73GUX7B7SI,0,3
 73GUX7B7SI,18,1
 73GUX7B7SI,2,1
 73S33UX13I,0,2
 73S33UX13I,17,2
 73S33UX13I,19,3
 748IS1B4GU,0,1
 748IS1B4GU,3,1
 748IS1B4GU,4,1
 74S51IXLGU,0,3
 74XIFSP4GU,0,1
 7606BUSPFE,0,1
